N matrix d Alg throughput
16 Sinkhorn_heatmap2 14 Rounding 0.89
16 Sinkhorn_heatmap2 14 Circle 0.32746171783975664
16 Sinkhorn_heatmap3 4 RRG 0.37964635976956873
16 Sinkhorn_heatmap3 4 Floor 0.81
16 Sinkhorn_heatmap3 4 Rounding 0.81
16 Sinkhorn_heatmap3 4 Circle 0.14280327420220748
16 Sinkhorn_heatmap3 6 RRG 0.4376025834482783
16 Sinkhorn_heatmap3 6 Floor 0.87
16 Sinkhorn_heatmap3 6 Rounding 0.87
16 Sinkhorn_heatmap3 6 Circle 0.1428032742022076
16 Sinkhorn_heatmap3 8 RRG 0.46893545701947364
16 Sinkhorn_heatmap3 8 Floor 0.9
16 Sinkhorn_heatmap3 8 Rounding 0.9
16 Sinkhorn_heatmap3 8 Circle 0.14280327420220748
16 Sinkhorn_heatmap3 10 RRG 0.49337825144996
16 Sinkhorn_heatmap3 10 Floor 0.92
16 Sinkhorn_heatmap3 10 Rounding 0.92
16 Sinkhorn_heatmap3 10 Circle 0.14280327420220756
16 Sinkhorn_heatmap3 12 RRG 0.5099636223396932
16 Sinkhorn_heatmap3 12 Floor 0.9299999999999999
16 Sinkhorn_heatmap3 12 Rounding 0.9299999999999999
16 Sinkhorn_heatmap3 12 Circle 0.1428032742022076
16 Sinkhorn_heatmap3 14 RRG 0.5248866585199073
16 Sinkhorn_heatmap3 14 Floor 0.94
16 Sinkhorn_heatmap3 14 Rounding 0.94
16 Sinkhorn_heatmap3 14 Circle 0.1428032742022076
16 Sinkhorn_topoopt 4 RRG 0.4349508621989492
16 Sinkhorn_topoopt 4 Floor 0.45499999999999996
16 Sinkhorn_topoopt 4 Rounding 0.7775
16 Sinkhorn_topoopt 4 Circle 0.26550762109950876
16 Sinkhorn_topoopt 6 RRG 0.5243143598331503
16 Sinkhorn_topoopt 6 Floor 0.69
16 Sinkhorn_topoopt 6 Rounding 0.69
16 Sinkhorn_topoopt 6 Circle 0.26550762109950965
16 Sinkhorn_topoopt 8 RRG 0.5549790952098468
16 Sinkhorn_topoopt 8 Floor 0.7274999999999999
16 Sinkhorn_topoopt 8 Rounding 0.7825
16 Sinkhorn_topoopt 8 Circle 0.26550762109950876
16 Sinkhorn_topoopt 10 RRG 0.5694075272198764
16 Sinkhorn_topoopt 10 Floor 0.7775000000000001
16 Sinkhorn_topoopt 10 Rounding 0.8075000000000001
16 Sinkhorn_topoopt 10 Circle 0.2655076210995087
16 Sinkhorn_topoopt 12 RRG 0.5632051798925534
16 Sinkhorn_topoopt 12 Floor 0.8250000000000001
16 Sinkhorn_topoopt 12 Rounding 0.8325
16 Sinkhorn_topoopt 12 Circle 0.2655076210995088
16 Sinkhorn_topoopt 14 RRG 0.5674055970315961
16 Sinkhorn_topoopt 14 Floor 0.8424999999999999
16 Sinkhorn_topoopt 14 Rounding 0.855
16 Sinkhorn_topoopt 14 Circle 0.26550762109950876
16 chessboard-16 4 RRG 0.4863469539429871
16 chessboard-16 4 Floor 0.4925
