mygrep n d matrix alg k throughputSH throughputMH
mygrep 64 4 skew-64-0.2 vermilion 4 0.7529734141791044 1
mygrep 64 4 skew-64-0.2 vermilion 5 0.8080690298507461 1
mygrep 64 4 skew-64-0.2 vermilion 6 0.8447994402985074 1
mygrep 64 4 skew-64-0.3 vermilion 2 0.5022321428571429 1
mygrep 64 4 skew-64-0.3 vermilion 3 0.6696428571428572 1
mygrep 64 4 skew-64-0.3 vermilion 4 0.7533482142857144 1
mygrep 64 4 skew-64-0.3 vermilion 5 0.8035714285714287 1
mygrep 64 4 skew-64-0.3 vermilion 6 0.8370535714285714 1
mygrep 64 4 skew-64-0.4 vermilion 2 0.5150799418604652 1
mygrep 64 4 skew-64-0.4 vermilion 3 0.6740552325581396 1
mygrep 64 4 skew-64-0.4 vermilion 4 0.7535428779069768 1
mygrep 64 4 skew-64-0.4 vermilion 5 0.8012354651162792 1
mygrep 64 4 skew-64-0.4 vermilion 6 0.839389534883721 1
mygrep 64 4 skew-64-0.5 vermilion 2 0.507568359375 1
mygrep 64 4 skew-64-0.5 vermilion 3 0.6767578125 1
mygrep 64 4 skew-64-0.5 vermilion 4 0.753662109375 1
mygrep 64 4 skew-64-0.5 vermilion 5 0.8059570312500002 1
mygrep 64 4 skew-64-0.5 vermilion 6 0.835693359375 1
mygrep 64 4 skew-64-0.6 vermilion 2 0.5024950916230366 1
mygrep 64 4 skew-64-0.6 vermilion 3 0.6699934554973821 1
mygrep 64 4 skew-64-0.6 vermilion 4 0.7537426374345549 1
mygrep 64 4 skew-64-0.6 vermilion 5 0.8039921465968586 1
mygrep 64 4 skew-64-0.6 vermilion 6 0.8374918193717277 1
mygrep 64 4 skew-64-0.7 vermilion 2 0.5099239864864865 1
mygrep 64 4 skew-64-0.7 vermilion 3 0.6725084459459459 1
mygrep 64 4 skew-64-0.7 vermilion 4 0.7538006756756758 1
mygrep 64 4 skew-64-0.7 vermilion 5 0.8025760135135136 1
mygrep 64 4 skew-64-0.7 vermilion 6 0.8350929054054054 1
mygrep 64 4 skew-64-0.8 vermilion 2 0.5058053359683794 1
mygrep 64 4 skew-64-0.8 vermilion 3 0.6679224308300393 1
mygrep 64 4 skew-64-0.8 vermilion 4 0.7538444911067192 1
mygrep 64 4 skew-64-0.8 vermilion 5 0.8015069169960474 1
mygrep 64 4 skew-64-0.8 vermilion 6 0.8365242094861659 1
mygrep 64 4 skew-64-0.9 vermilion 2 0.5025858274647887 1
mygrep 64 4 skew-64-0.9 vermilion 3 0.6701144366197183 1
mygrep 64 4 skew-64-0.9 vermilion 4 0.7538787411971831 1
mygrep 64 4 skew-64-0.9 vermilion 5 0.8006712147887324 1
mygrep 64 4 skew-64-0.9 vermilion 6 0.8347546214788731 1
mygrep 128 4 chessboard-128 vermilion 2 0.6640625000000001 1
mygrep 128 4 chessboard-128 vermilion 3 0.8854166666666667 1
mygrep 128 4 chessboard-128 vermilion 4 0.8300781250000001 1
mygrep 128 4 chessboard-128 vermilion 5 0.9296875000000002 1
mygrep 128 4 chessboard-128 vermilion 6 0.8854166666666667 1
mygrep 128 4 uniform-128 vermilion 2 0.9921875 1
mygrep 128 4 uniform-128 vermilion 3 0.9921875 1
mygrep 128 4 uniform-128 vermilion 4 0.9921875 1
mygrep 128 4 uniform-128 vermilion 5 0.9921875 1
mygrep 128 4 uniform-128 vermilion 6 0.9921875 1
mygrep 128 4 permutation-128 vermilion 2 0.50390625 1
mygrep 128 4 permutation-128 vermilion 3 0.6692708333333333 1
mygrep 128 4 permutation-128 vermilion 4 0.751953125 1
mygrep 128 4 permutation-128 vermilion 5 0.8015625000000001 1
mygrep 128 4 permutation-128 vermilion 6 0.8346354166666666 1
mygrep 128 4 skew-128-0.1 vermilion 2 0.5106847426470585 1
