N matrix d Alg throughput
8 skew-8-0.7 6 Optimal 0.8449396612904924
8 skew-8-0.7 7 Optimal 0.8536585392987815
8 skew-8-0.8 2 Optimal 0.660377401825495
8 skew-8-0.8 3 Optimal 0.7561728498038572
8 skew-8-0.8 4 Optimal 0.8230198028597904
8 skew-8-0.8 5 Optimal 0.8333333496552449
8 skew-8-0.8 6 Optimal 0.8442982456140351
8 skew-8-0.8 7 Optimal 0.8706468148533648
8 skew-8-0.9 2 Optimal 0.7954545454545457
8 skew-8-0.9 3 Optimal 0.7954545777228791
8 skew-8-0.9 4 Optimal 0.8212996389891698
8 skew-8-0.9 5 Optimal 0.8544600957607466
8 skew-8-0.9 6 Optimal 0.8778317171989568
8 skew-8-0.9 7 Optimal 0.8980582534247536
16 Sinkhorn_data-parallelism 4 Optimal 0.9999079655596623
16 Sinkhorn_data-parallelism 6 Optimal 0.9999079655596624
16 Sinkhorn_data-parallelism 8 Optimal 0.9999079655596625
16 Sinkhorn_data-parallelism 10 Optimal 0.9999079655596625
16 Sinkhorn_data-parallelism 12 Optimal 0.9999079655596623
16 Sinkhorn_data-parallelism 14 Optimal 0.9999079655596624
16 Sinkhorn_hybrid-parallelism 4 Optimal 0.977280434065834
16 Sinkhorn_hybrid-parallelism 6 Optimal 0.977280433858841
16 Sinkhorn_hybrid-parallelism 8 Optimal 0.977280431566136
16 Sinkhorn_hybrid-parallelism 10 Optimal 0.9772804340101617
16 Sinkhorn_hybrid-parallelism 12 Optimal 0.9772804322297829
16 Sinkhorn_hybrid-parallelism 14 Optimal 0.9772804318706205
16 Sinkhorn_heatmap1 4 Optimal 0.9799279928218342
16 Sinkhorn_heatmap1 6 Optimal 0.9799280123331723
16 Sinkhorn_heatmap1 8 Optimal 0.979927995929255
16 Sinkhorn_heatmap1 10 Optimal 0.9799279928218333
16 Sinkhorn_heatmap1 12 Optimal 0.9799279928218335
16 Sinkhorn_heatmap1 14 Optimal 0.9799279928218335
16 Sinkhorn_heatmap2 4 Optimal 0.9385348264777106
16 Sinkhorn_heatmap2 6 Optimal 0.938534826685903
16 Sinkhorn_heatmap2 8 Optimal 0.938534828004813
16 Sinkhorn_heatmap2 10 Optimal 0.9404032466335722
16 Sinkhorn_heatmap2 12 Optimal 0.9483515889944674
16 Sinkhorn_heatmap2 14 Optimal 0.9542419778649442
16 Sinkhorn_heatmap3 4 Optimal 0.9778532486037775
